"Date","구장","원정팀","원정팀점수","홈팀점수","홈팀","원정팀결과","홈팀결과","비고"
"2012-03-17 13:00","잠실","삼성",8,3,"LG","승","패","시범경기"
"2012-03-17 13:00","문학","기아",3,6,"SK","패","승","시범경기"
"2012-03-17 13:00","사직","두산",2,7,"롯데","패","승","시범경기"
"2012-03-18 13:00","잠실","삼성",3,7,"LG","패","승","시범경기"
"2012-03-18 13:00","문학","기아",4,2,"SK","승","패","시범경기"
"2012-03-18 13:00","사직","두산",4,0,"롯데","승","패","시범경기"
"2012-03-18 13:00","청주","넥센",0,6,"한화","패","승","시범경기"
"2012-03-20 13:00","잠실","LG",1,1,"두산","무","무","시범경기"
"2012-03-20 13:00","목동","기아",3,0,"넥센","승","패","시범경기"
"2012-03-20 13:00","문학","삼성",1,9,"SK","패","승","시범경기"
"2012-03-20 13:00","청주","롯데",9,2,"한화","승","패","시범경기"
"2012-03-21 13:00","잠실","LG",6,6,"두산","무","무","시범경기"
"2012-03-21 13:00","목동","기아",4,10,"넥센","패","승","시범경기"
"2012-03-21 13:00","문학","삼성",2,4,"SK","패","승","시범경기"
"2012-03-21 13:00","청주","롯데",6,7,"한화","패","승","시범경기"
"2012-03-22 13:00","잠실","SK",2,5,"LG","패","승","시범경기"
"2012-03-22 13:00","목동","삼성",2,3,"넥센","패","승","시범경기"
"2012-03-22 13:00","청주","두산",1,4,"한화","패","승","시범경기"
"2012-03-23 13:00","사직","기아",5,2,"롯데","승","패","시범경기"
"2012-03-24 13:00","잠실","기아",2,2,"두산","무","무","시범경기"
"2012-03-24 13:00","문학","넥센",8,6,"SK","승","패","시범경기"
"2012-03-24 13:00","사직","LG",2,5,"롯데","패","승","시범경기"
"2012-03-25 13:00","잠실","기아",0,3,"두산","패","승","시범경기"
"2012-03-25 13:00","문학","넥센",3,2,"SK","승","패","시범경기"
"2012-03-25 13:00","사직","LG",4,3,"롯데","승","패","시범경기"
"2012-03-25 13:00","청주","삼성",3,4,"한화","패","승","시범경기"
"2012-03-27 13:00","잠실","넥센",6,4,"두산","승","패","시범경기"
"2012-03-27 13:00","문학","한화",0,3,"SK","패","승","시범경기"
"2012-03-27 13:00","대구","롯데",2,5,"삼성","패","승","시범경기"
"2012-03-27 13:00","무등","LG",2,7,"기아","패","승","시범경기"
"2012-03-28 13:00","잠실","넥센",0,2,"두산","패","승","시범경기"
"2012-03-28 13:00","문학","한화",1,3,"SK","패","승","시범경기"
"2012-03-28 13:00","대구","롯데",4,5,"삼성","패","승","시범경기"
"2012-03-28 13:00","무등","LG",4,2,"기아","승","패","시범경기"
"2012-03-29 13:00","잠실","한화",8,0,"LG","승","패","시범경기"
"2012-03-29 13:00","문학","두산",2,3,"SK","패","승","시범경기"
"2012-03-29 13:00","대구","기아",10,11,"삼성","패","승","시범경기"
"2012-03-29 13:00","사직","넥센",8,4,"롯데","승","패","시범경기"
"2012-03-30 13:00","잠실","한화",8,9,"LG","패","승","시범경기"
"2012-03-30 13:00","문학","두산",1,3,"SK","패","승","시범경기"
"2012-03-31 13:00","잠실","넥센",3,4,"LG","패","승","시범경기"
"2012-03-31 13:00","대구","두산",3,2,"삼성","승","패","시범경기"
"2012-03-31 13:00","사직","SK",3,2,"롯데","승","패","시범경기"
"2012-03-31 13:00","무등","한화",0,0,"기아","무","무","시범경기"
"2012-04-01 13:00","잠실","넥센",3,2,"LG","승","패","시범경기"
"2012-04-01 13:00","대구","두산",1,1,"삼성","무","무","시범경기"
"2012-04-01 13:00","사직","SK",9,2,"롯데","승","패","시범경기"
"2012-04-01 13:00","무등","한화",6,6,"기아","무","무","시범경기"
"2012-04-07 13:55","문학","기아",2,6,"SK","패","승","정규시즌"
"2012-04-07 13:55","사직","한화",1,4,"롯데","패","승","정규시즌"
"2012-04-07 14:00","잠실","넥센",6,2,"두산","승","패","정규시즌"
"2012-04-07 14:00","대구","LG",6,3,"삼성","승","패","정규시즌"
"2012-04-08 14:00","잠실","넥센",11,13,"두산","패","승","정규시즌"
"2012-04-08 14:00","문학","기아",1,4,"SK","패","승","정규시즌"
"2012-04-08 14:00","대구","LG",3,2,"삼성","승","패","정규시즌"
"2012-04-08 14:00","사직","한화",5,10,"롯데","패","승","정규시즌"
"2012-04-11 18:30","잠실","롯데",8,3,"LG","승","패","정규시즌"
"2012-04-11 18:30","목동","SK",5,1,"넥센","승","패","정규시즌"
"2012-04-11 18:30","무등","삼성",0,1,"기아","패","승","정규시즌"
"2012-04-11 18:30","청주","두산",6,0,"한화","승","패","정규시즌"
"2012-04-12 18:30","잠실","롯데",0,4,"LG","패","승","정규시즌"
"2012-04-12 18:30","목동","SK",2,4,"넥센","패","승","정규시즌"
"2012-04-12 18:30","무등","삼성",10,2,"기아","승","패","정규시즌"
"2012-04-12 18:30","청주","두산",2,8,"한화","패","승","정규시즌"
"2012-04-13 18:30","잠실","기아",8,6,"LG","승","패","정규시즌"
"2012-04-13 18:30","문학","한화",0,1,"SK","패","승","정규시즌"
"2012-04-13 18:30","대구","넥센",0,2,"삼성","패","승","정규시즌"
"2012-04-13 18:30","사직","두산",6,1,"롯데","승","패","정규시즌"
"2012-04-14 17:00","잠실","기아",9,7,"LG","승","패","정규시즌"
"2012-04-14 17:00","문학","한화",0,1,"SK","패","승","정규시즌"
"2012-04-14 17:00","대구","넥센",1,4,"삼성","패","승","정규시즌"
"2012-04-14 17:00","사직","두산",3,3,"롯데","무","무","정규시즌"
"2012-04-15 14:00","잠실","기아",3,5,"LG","패","승","정규시즌"
"2012-04-15 14:00","문학","한화",6,11,"SK","패","승","정규시즌"
"2012-04-15 14:00","대구","넥센",10,7,"삼성","승","패","정규시즌"
"2012-04-15 14:00","사직","두산",0,5,"롯데","패","승","정규시즌"
"2012-04-17 18:30","잠실","삼성",1,9,"두산","패","승","정규시즌"
"2012-04-17 18:30","목동","기아",2,1,"넥센","승","패","정규시즌"
"2012-04-17 18:30","사직","SK",2,3,"롯데","패","승","정규시즌"
"2012-04-17 18:30","청주","LG",6,7,"한화","패","승","정규시즌"
"2012-04-18 18:30","잠실","삼성",3,4,"두산","패","승","정규시즌"
