"Date","구장","원정팀","원정팀점수","홈팀점수","홈팀","원정팀결과","홈팀결과","비고"
"2019-03-12 13:00","상동","NC",4,6,"롯데","패","승","시범경기"
"2019-03-12 13:00","대구","KT",12,13,"삼성","패","승","시범경기"
"2019-03-12 13:00","광주","SK",1,4,"기아","패","승","시범경기"
"2019-03-12 13:00","고척","LG",1,4,"키움","패","승","시범경기"
"2019-03-12 13:00","대전","두산",2,3,"한화","패","승","시범경기"
"2019-03-13 13:00","상동","NC",5,0,"롯데","승","패","시범경기"
"2019-03-13 13:00","대구","KT",1,6,"삼성","패","승","시범경기"
"2019-03-13 13:00","광주","SK",3,3,"기아","무","무","시범경기"
"2019-03-13 13:00","고척","LG",8,4,"키움","승","패","시범경기"
"2019-03-13 13:00","대전","두산",2,9,"한화","패","승","시범경기"
"2019-03-14 13:00","이천(LG)","두산",13,2,"LG","승","패","시범경기"
"2019-03-14 13:00","대구","NC",6,4,"삼성","승","패","시범경기"
"2019-03-14 13:00","광주","KT",5,9,"기아","패","승","시범경기"
"2019-03-14 13:00","고척","롯데",3,8,"키움","패","승","시범경기"
"2019-03-14 13:00","대전","SK",3,5,"한화","패","승","시범경기"
"2019-03-15 13:00","대구","NC",3,1,"삼성","승","패","시범경기"
"2019-03-15 13:00","고척","롯데",3,4,"키움","패","승","시범경기"
"2019-03-15 13:00","대전","SK",8,2,"한화","승","패","시범경기"
"2019-03-16 13:00","대구","LG",7,4,"삼성","승","패","시범경기"
"2019-03-16 13:00","수원","SK",6,2,"KT","승","패","시범경기"
"2019-03-16 13:00","광주","NC",2,2,"기아","무","무","시범경기"
"2019-03-16 13:00","고척","두산",3,2,"키움","승","패","시범경기"
"2019-03-16 13:00","대전","롯데",1,6,"한화","패","승","시범경기"
"2019-03-17 13:00","대구","LG",7,5,"삼성","승","패","시범경기"
"2019-03-17 13:00","수원","SK",3,1,"KT","승","패","시범경기"
"2019-03-17 13:00","광주","NC",5,6,"기아","패","승","시범경기"
"2019-03-17 13:00","고척","두산",3,1,"키움","승","패","시범경기"
"2019-03-17 13:00","대전","롯데",8,6,"한화","승","패","시범경기"
"2019-03-19 13:00","문학","두산",2,3,"SK","패","승","시범경기"
"2019-03-19 13:00","고척","기아",3,4,"키움","패","승","시범경기"
"2019-03-19 17:30","사직","삼성",0,6,"롯데","패","승","시범경기"
"2019-03-19 18:00","창원","한화",5,2,"NC","승","패","시범경기"
"2019-03-19 18:00","수원","LG",3,3,"KT","무","무","시범경기"
"2019-03-20 13:00","문학","두산",0,1,"SK","패","승","시범경기"
"2019-03-20 13:00","사직","삼성",3,4,"롯데","패","승","시범경기"
"2019-03-20 13:00","창원","한화",2,3,"NC","패","승","시범경기"
"2019-03-20 13:00","고척","기아",0,2,"키움","패","승","시범경기"
"2019-03-23 14:00","잠실","한화",4,5,"두산","패","승","정규시즌"
"2019-03-23 14:00","문학","KT",4,7,"SK","패","승","정규시즌"
"2019-03-23 14:00","사직","키움",7,4,"롯데","승","패","정규시즌"
"2019-03-23 14:00","창원","삼성",0,7,"NC","패","승","정규시즌"
"2019-03-23 14:00","광주","LG",2,0,"기아","승","패","정규시즌"
"2019-03-24 14:00","잠실","한화",11,1,"두산","승","패","정규시즌"
"2019-03-24 14:00","문학","KT",3,6,"SK","패","승","정규시즌"
"2019-03-24 14:00","사직","키움",2,6,"롯데","패","승","정규시즌"
"2019-03-24 14:00","창원","삼성",4,3,"NC","승","패","정규시즌"
"2019-03-24 14:00","광주","LG",9,3,"기아","승","패","정규시즌"
"2019-03-26 18:30","잠실","키움",2,7,"두산","패","승","정규시즌"
"2019-03-26 18:30","문학","LG",6,3,"SK","승","패","정규시즌"
"2019-03-26 18:30","사직","삼성",2,7,"롯데","패","승","정규시즌"
"2019-03-26 18:30","창원","KT",8,9,"NC","패","승","정규시즌"
"2019-03-26 18:30","광주","한화",13,7,"기아","승","패","정규시즌"
"2019-03-27 18:30","잠실","키움",2,3,"두산","패","승","정규시즌"
"2019-03-27 18:30","문학","LG",1,2,"SK","패","승","정규시즌"
"2019-03-27 18:30","사직","삼성",23,4,"롯데","승","패","정규시즌"
"2019-03-27 18:30","창원","KT",1,4,"NC","패","승","정규시즌"
"2019-03-27 18:30","광주","한화",4,9,"기아","패","승","정규시즌"
"2019-03-28 18:30","잠실","키움",5,4,"두산","승","패","정규시즌"
"2019-03-28 18:30","문학","LG",1,3,"SK","패","승","정규시즌"
"2019-03-28 18:30","사직","삼성",12,7,"롯데","승","패","정규시즌"
"2019-03-28 18:30","창원","KT",2,6,"NC","패","승","정규시즌"
"2019-03-28 18:30","광주","한화",4,6,"기아","패","승","정규시즌"
"2019-03-29 18:30","잠실","롯데",1,2,"LG","패","승","정규시즌"
"2019-03-29 18:30","대구","두산",3,2,"삼성","승","패","정규시즌"
"2019-03-29 18:30","수원","기아",3,6,"KT","패","승","정규시즌"
"2019-03-29 18:30","고척","SK",5,2,"키움","승","패","정규시즌"
"2019-03-29 18:30","대전","NC",0,9,"한화","패","승","정규시즌"
"2019-03-30 17:00","잠실","롯데",7,1,"LG","승","패","정규시즌"
"2019-03-30 17:00","대구","두산",4,2,"삼성","승","패","정규시즌"
"2019-03-30 17:00","수원","기아",2,6,"KT","패","승","정규시즌"
"2019-03-30 17:00","고척","SK",1,3,"키움","패","승","정규시즌"
"2019-03-30 17:00","대전","NC",5,13,"한화","패","승","정규시즌"
"2019-03-31 14:00","잠실","롯데",5,6,"LG","패","승","정규시즌"
"2019-03-31 14:00","대구","두산",9,4,"삼성","승","패","정규시즌"
"2019-03-31 14:00","수원","기아",4,2,"KT","승","패","정규시즌"
"2019-03-31 14:00","고척","SK",8,7,"키움","승","패","정규시즌"
"2019-03-31 14:00","대전","NC",6,3,"한화","승","패","정규시즌"
"2019-04-02 18:30","잠실","KT",0,9,"두산","패","승","정규시즌"
"2019-04-02 18:30","문학","롯데",5,0,"SK","승","패","정규시즌"
"2019-04-02 18:30","대구","기아",4,1,"삼성","승","패","정규시즌"
"2019-04-02 18:30","창원","키움",8,6,"NC","승","패","정규시즌"
"2019-04-02 18:30","대전","LG",2,6,"한화","패","승","정규시즌"
"2019-04-03 18:30","잠실","KT",1,5,"두산","패","승","정규시즌"
"2019-04-03 18:30","문학","롯데",3,1,"SK","승","패","정규시즌"
"2019-04-03 18:30","대구","기아",3,6,"삼성","패","승","정규시즌"
