"Date","구장","원정팀","원정팀점수","홈팀점수","홈팀","원정팀결과","홈팀결과","비고"
"2018-03-13 13:00","대전","넥센",5,4,"한화","승","패","시범경기"
"2018-03-13 13:00","광주","두산",4,5,"기아","패","승","시범경기"
"2018-03-13 13:00","사직","LG",4,3,"롯데","승","패","시범경기"
"2018-03-13 13:00","마산","SK",8,4,"NC","승","패","시범경기"
"2018-03-13 13:00","수원","삼성",2,3,"KT","패","승","시범경기"
"2018-03-14 13:00","대전","넥센",5,13,"한화","패","승","시범경기"
"2018-03-14 13:00","광주","두산",5,2,"기아","승","패","시범경기"
"2018-03-14 13:00","사직","LG",4,2,"롯데","승","패","시범경기"
"2018-03-14 13:00","마산","SK",6,1,"NC","승","패","시범경기"
"2018-03-14 13:00","수원","삼성",4,9,"KT","패","승","시범경기"
"2018-03-16 13:00","대전","KT",6,4,"한화","승","패","시범경기"
"2018-03-16 13:00","대구","SK",7,1,"삼성","승","패","시범경기"
"2018-03-16 13:00","광주","넥센",3,4,"기아","패","승","시범경기"
"2018-03-16 13:00","사직","두산",5,9,"롯데","패","승","시범경기"
"2018-03-16 13:00","마산","LG",1,2,"NC","패","승","시범경기"
"2018-03-17 13:00","잠실","LG",5,9,"두산","패","승","시범경기"
"2018-03-17 13:00","문학","넥센",4,8,"SK","패","승","시범경기"
"2018-03-17 13:00","대전","NC",3,4,"한화","패","승","시범경기"
"2018-03-17 13:00","대구","기아",11,4,"삼성","승","패","시범경기"
"2018-03-17 13:00","수원","롯데",17,10,"KT","승","패","시범경기"
"2018-03-18 13:00","문학","넥센",3,3,"SK","무","무","시범경기"
"2018-03-18 13:00","대전","NC",1,2,"한화","패","승","시범경기"
"2018-03-18 13:00","대구","기아",8,5,"삼성","승","패","시범경기"
"2018-03-18 13:00","수원","롯데",3,4,"KT","패","승","시범경기"
"2018-03-18 14:00","잠실","두산",1,4,"LG","패","승","시범경기"
"2018-03-20 13:00","고척","LG",5,3,"넥센","승","패","시범경기"
"2018-03-20 13:00","잠실","한화",2,14,"두산","패","승","시범경기"
"2018-03-20 13:00","문학","KT",5,1,"SK","승","패","시범경기"
"2018-03-20 17:00","대구","NC",4,7,"삼성","패","승","시범경기"
"2018-03-21 13:00","고척","LG",1,10,"넥센","패","승","시범경기"
"2018-03-24 14:00","고척","한화",3,6,"넥센","패","승","정규시즌"
"2018-03-24 14:00","잠실","삼성",6,3,"두산","승","패","정규시즌"
"2018-03-24 14:00","문학","롯데",5,6,"SK","패","승","정규시즌"
"2018-03-24 14:00","광주","KT",5,4,"기아","승","패","정규시즌"
"2018-03-24 14:00","마산","LG",2,4,"NC","패","승","정규시즌"
