"Date","구장","원정팀","원정팀점수","홈팀점수","홈팀","원정팀결과","홈팀결과","비고"
"2015-03-07 13:00","목동","KT",0,5,"넥센","패","승","시범경기"
"2015-03-07 13:00","대전","LG",3,9,"한화","패","승","시범경기"
"2015-03-07 13:00","사직","SK",2,1,"롯데","승","패","시범경기"
"2015-03-07 13:00","마산","기아",1,2,"NC","패","승","시범경기"
"2015-03-07 13:00","포항","두산",9,4,"삼성","승","패","시범경기"
"2015-03-08 13:00","목동","KT",4,10,"넥센","패","승","시범경기"
"2015-03-08 13:00","대전","LG",3,2,"한화","승","패","시범경기"
"2015-03-08 13:00","사직","SK",1,9,"롯데","패","승","시범경기"
"2015-03-08 13:00","마산","기아",4,0,"NC","승","패","시범경기"
"2015-03-08 13:00","포항","두산",0,9,"삼성","패","승","시범경기"
"2015-03-11 13:00","대전","SK",8,4,"한화","승","패","시범경기"
"2015-03-11 13:00","사직","LG",2,0,"롯데","승","패","시범경기"
"2015-03-11 13:00","마산","KT",1,0,"NC","승","패","시범경기"
"2015-03-11 13:00","포항","기아",6,3,"삼성","승","패","시범경기"
"2015-03-12 13:00","목동","기아",5,2,"넥센","승","패","시범경기"
"2015-03-12 13:00","대전","두산",3,2,"한화","승","패","시범경기"
"2015-03-12 13:00","사직","KT",6,5,"롯데","승","패","시범경기"
"2015-03-12 13:00","마산","SK",3,3,"NC","무","무","시범경기"
"2015-03-12 13:00","포항","LG",10,7,"삼성","승","패","시범경기"
"2015-03-13 13:00","목동","기아",5,6,"넥센","패","승","시범경기"
"2015-03-13 13:00","대전","두산",0,12,"한화","패","승","시범경기"
"2015-03-13 13:00","사직","KT",2,3,"롯데","패","승","시범경기"
"2015-03-13 13:00","마산","SK",3,4,"NC","패","승","시범경기"
"2015-03-13 13:00","포항","LG",2,3,"삼성","패","승","시범경기"
"2015-03-14 13:00","목동","롯데",5,3,"넥센","승","패","시범경기"
"2015-03-14 13:00","광주","LG",11,5,"기아","승","패","시범경기"
"2015-03-14 13:00","마산","한화",0,1,"NC","패","승","시범경기"
"2015-03-14 13:00","수원","두산",6,3,"KT","승","패","시범경기"
