"날짜","시간","경기","구장","비고","경기날짜및시간","원정팀","원정팀_점수","홈팀_점수","홈팀","비고.1","비고.2","홈팀_결과","원정팀_결과"
"03.07(토)","13:00","kt 0vs5 넥센","목동","-","2015-03-07 13:00","kt",0,5,"넥센","","시범경기","승","패"
"","13:00","LG 3vs9 한화","대전","-","2015-03-07 13:00","LG",3,9,"한화","","시범경기","승","패"
"","13:00","SK 2vs1 롯데","사직","-","2015-03-07 13:00","SK",2,1,"롯데","","시범경기","패","승"
"","13:00","KIA 1vs2 NC","마산","-","2015-03-07 13:00","KIA",1,2,"NC","","시범경기","승","패"
"","13:00","두산 9vs4 삼성","포항","-","2015-03-07 13:00","두산",9,4,"삼성","","시범경기","패","승"
"03.08(일)","13:00","kt 4vs10 넥센","목동","-","2015-03-08 13:00","kt",4,10,"넥센","","시범경기","승","패"
"","13:00","LG 3vs2 한화","대전","-","2015-03-08 13:00","LG",3,2,"한화","","시범경기","패","승"
"","13:00","SK 1vs9 롯데","사직","-","2015-03-08 13:00","SK",1,9,"롯데","","시범경기","승","패"
"","13:00","KIA 4vs0 NC","마산","-","2015-03-08 13:00","KIA",4,0,"NC","","시범경기","패","승"
"","13:00","두산 0vs9 삼성","포항","-","2015-03-08 13:00","두산",0,9,"삼성","","시범경기","승","패"
"03.10(화)","13:00","두산 vs 넥센","목동","한파취소","2015-03-10 13:00","두산",NA,NA,"넥센","경기 없는 날","시범경기",NA,NA
"","13:00","SK vs 한화","대전","한파취소","2015-03-10 13:00","SK",NA,NA,"한화","경기 없는 날","시범경기",NA,NA
"","13:00","LG vs 롯데","사직","한파취소","2015-03-10 13:00","LG",NA,NA,"롯데","경기 없는 날","시범경기",NA,NA
"","13:00","kt vs NC","마산","한파취소","2015-03-10 13:00","kt",NA,NA,"NC","경기 없는 날","시범경기",NA,NA
"","13:00","KIA vs 삼성","포항","한파취소","2015-03-10 13:00","KIA",NA,NA,"삼성","경기 없는 날","시범경기",NA,NA
"03.11(수)","13:00","두산 vs 넥센","목동","한파취소","2015-03-11 13:00","두산",NA,NA,"넥센","경기 없는 날","시범경기",NA,NA
"","13:00","SK 8vs4 한화","대전","-","2015-03-11 13:00","SK",8,4,"한화","","시범경기","패","승"
"","13:00","LG 2vs0 롯데","사직","-","2015-03-11 13:00","LG",2,0,"롯데","","시범경기","패","승"
"","13:00","kt 1vs0 NC","마산","-","2015-03-11 13:00","kt",1,0,"NC","","시범경기","패","승"
"","13:00","KIA 6vs3 삼성","포항","-","2015-03-11 13:00","KIA",6,3,"삼성","","시범경기","패","승"
"03.12(목)","13:00","KIA 5vs2 넥센","목동","-","2015-03-12 13:00","KIA",5,2,"넥센","","시범경기","패","승"
"","13:00","두산 3vs2 한화","대전","-","2015-03-12 13:00","두산",3,2,"한화","","시범경기","패","승"
"","13:00","kt 6vs5 롯데","사직","-","2015-03-12 13:00","kt",6,5,"롯데","","시범경기","패","승"
"","13:00","SK 3vs3 NC","마산","-","2015-03-12 13:00","SK",3,3,"NC","","시범경기","무","무"
"","13:00","LG 10vs7 삼성","포항","-","2015-03-12 13:00","LG",10,7,"삼성","","시범경기","패","승"
"03.13(금)","13:00","KIA 5vs6 넥센","목동","-","2015-03-13 13:00","KIA",5,6,"넥센","","시범경기","승","패"
"","13:00","두산 0vs12 한화","대전","-","2015-03-13 13:00","두산",0,12,"한화","","시범경기","승","패"
"","13:00","kt 2vs3 롯데","사직","-","2015-03-13 13:00","kt",2,3,"롯데","","시범경기","승","패"
"","13:00","SK 3vs4 NC","마산","-","2015-03-13 13:00","SK",3,4,"NC","","시범경기","승","패"
"","13:00","LG 2vs3 삼성","포항","-","2015-03-13 13:00","LG",2,3,"삼성","","시범경기","승","패"
"03.14(토)","13:00","롯데 5vs3 넥센","목동","-","2015-03-14 13:00","롯데",5,3,"넥센","","시범경기","패","승"
"","13:00","LG 11vs5 KIA","광주","-","2015-03-14 13:00","LG",11,5,"KIA","","시범경기","패","승"
"","13:00","한화 0vs1 NC","마산","-","2015-03-14 13:00","한화",0,1,"NC","","시범경기","승","패"
"","13:00","두산 6vs3 kt","수원","-","2015-03-14 13:00","두산",6,3,"kt","","시범경기","패","승"
"","13:00","SK 4vs11 삼성","포항","-","2015-03-14 13:00","SK",4,11,"삼성","","시범경기","승","패"
"03.15(일)","13:00","롯데 1vs2 넥센","목동","-","2015-03-15 13:00","롯데",1,2,"넥센","","시범경기","승","패"
"","13:00","LG 11vs1 KIA","광주","-","2015-03-15 13:00","LG",11,1,"KIA","","시범경기","패","승"
"","13:00","한화 1vs2 NC","마산","-","2015-03-15 13:00","한화",1,2,"NC","","시범경기","승","패"
"","13:00","두산 6vs4 kt","수원","-","2015-03-15 13:00","두산",6,4,"kt","","시범경기","패","승"
"","13:00","SK 9vs3 삼성","포항","-","2015-03-15 13:00","SK",9,3,"삼성","","시범경기","패","승"
"03.17(화)","13:00","NC 5vs4 두산","잠실","-","2015-03-17 13:00","NC",5,4,"두산","","시범경기","패","승"
"","13:00","넥센 10vs8 한화","대전","-","2015-03-17 13:00","넥센",10,8,"한화","","시범경기","패","승"
"","13:00","SK 7vs2 KIA","광주","-","2015-03-17 13:00","SK",7,2,"KIA","","시범경기","패","승"
"","13:00","LG 4vs5 kt","수원","-","2015-03-17 13:00","LG",4,5,"kt","","시범경기","승","패"
"","13:00","삼성 3vs5 롯데","울산","-","2015-03-17 13:00","삼성",3,5,"롯데","","시범경기","승","패"
