"날짜","시간","경기","구장","비고","경기날짜및시간","원정팀","원정팀_점수","홈팀_점수","홈팀","비고.1","비고.2","홈팀_결과","원정팀_결과"
"","13:00","LG 7vs7 SK","문학","-","2016-03-19 13:00","LG",7,7,"SK","","시범경기","무","무"
"","13:00","한화 12vs20 롯데","사직","-","2016-03-19 13:00","한화",12,20,"롯데","","시범경기","승","패"
"","13:00","kt 2vs1 NC","마산","-","2016-03-19 13:00","kt",2,1,"NC","","시범경기","패","승"
"03.20(일)","13:00","삼성 4vs1 넥센","고척","-","2016-03-20 13:00","삼성",4,1,"넥센","","시범경기","패","승"
"","13:00","KIA 10vs6 두산","잠실","-","2016-03-20 13:00","KIA",10,6,"두산","","시범경기","패","승"
"","13:00","LG 5vs0 SK","문학","-","2016-03-20 13:00","LG",5,0,"SK","","시범경기","패","승"
"","13:00","한화 1vs0 롯데","사직","-","2016-03-20 13:00","한화",1,0,"롯데","","시범경기","패","승"
"","13:00","kt 3vs6 NC","마산","-","2016-03-20 13:00","kt",3,6,"NC","","시범경기","승","패"
"03.22(화)","13:00","롯데 0vs5 넥센","고척","-","2016-03-22 13:00","롯데",0,5,"넥센","","시범경기","승","패"
"","13:00","SK 5vs1 두산","잠실","-","2016-03-22 13:00","SK",5,1,"두산","","시범경기","패","승"
"","13:00","LG 5vs7 삼성","대구","-","2016-03-22 13:00","LG",5,7,"삼성","","시범경기","승","패"
"","13:00","kt 1vs8 KIA","광주","-","2016-03-22 13:00","kt",1,8,"KIA","","시범경기","승","패"
"","13:00","한화 4vs9 NC","마산","-","2016-03-22 13:00","한화",4,9,"NC","","시범경기","승","패"
"03.23(수)","13:00","롯데 5vs6 넥센","고척","-","2016-03-23 13:00","롯데",5,6,"넥센","","시범경기","승","패"
"","13:00","SK 3vs5 두산","잠실","-","2016-03-23 13:00","SK",3,5,"두산","","시범경기","승","패"
"","13:00","LG 12vs8 삼성","대구","-","2016-03-23 13:00","LG",12,8,"삼성","","시범경기","패","승"
"","13:00","kt 8vs0 KIA","광주","-","2016-03-23 13:00","kt",8,0,"KIA","","시범경기","패","승"
"","13:00","한화 8vs4 NC","마산","-","2016-03-23 13:00","한화",8,4,"NC","","시범경기","패","승"
"03.24(목)","13:00","넥센 2vs6 LG","잠실","-","2016-03-24 13:00","넥센",2,6,"LG","","시범경기","승","패"
"","13:00","NC 3vs0 SK","문학","-","2016-03-24 13:00","NC",3,0,"SK","","시범경기","패","승"
"","13:00","kt 5vs3 한화","대전","-","2016-03-24 13:00","kt",5,3,"한화","","시범경기","패","승"
"","13:00","두산 8vs3 삼성","대구","-","2016-03-24 13:00","두산",8,3,"삼성","","시범경기","패","승"
"","17:30","KIA 13vs13 롯데","사직","-","2016-03-24 17:30","KIA",13,13,"롯데","","시범경기","무","무"
"03.25(금)","13:00","넥센 7vs1 LG","잠실","-","2016-03-25 13:00","넥센",7,1,"LG","","시범경기","패","승"
"","13:00","NC 6vs5 SK","문학","-","2016-03-25 13:00","NC",6,5,"SK","","시범경기","패","승"
"","13:00","kt 8vs4 한화","대전","-","2016-03-25 13:00","kt",8,4,"한화","","시범경기","패","승"
"","13:00","두산 vs 삼성","대구","한파취소","2016-03-25 13:00","두산",NA,NA,"삼성","경기 없는 날","시범경기",NA,NA
"","13:00","KIA 11vs5 롯데","사직","-","2016-03-25 13:00","KIA",11,5,"롯데","","시범경기","패","승"
"03.26(토)","13:00","NC 7vs5 넥센","고척","-","2016-03-26 13:00","NC",7,5,"넥센","","시범경기","패","승"
"","13:00","두산 4vs4 LG","잠실","-","2016-03-26 13:00","두산",4,4,"LG","","시범경기","무","무"
"","13:00","SK 2vs5 삼성","대구","-","2016-03-26 13:00","SK",2,5,"삼성","","시범경기","승","패"
"","13:00","롯데 0vs11 kt","수원","-","2016-03-26 13:00","롯데",0,11,"kt","","시범경기","승","패"
"","17:00","한화 1vs3 KIA","광주","-","2016-03-26 17:00","한화",1,3,"KIA","","시범경기","승","패"
"03.27(일)","13:00","NC 8vs3 넥센","고척","-","2016-03-27 13:00","NC",8,3,"넥센","","시범경기","패","승"
"","13:00","두산 1vs0 LG","잠실","-","2016-03-27 13:00","두산",1,0,"LG","","시범경기","패","승"
"","13:00","SK 1vs11 삼성","대구","-","2016-03-27 13:00","SK",1,11,"삼성","","시범경기","승","패"
"","13:00","한화 10vs5 KIA","광주","-","2016-03-27 13:00","한화",10,5,"KIA","","시범경기","패","승"
"","13:00","롯데 3vs5 kt","수원","-","2016-03-27 13:00","롯데",3,5,"kt","","시범경기","승","패"
"04.01(금)","19:00","롯데 2vs1 넥센","고척","-","2016-04-01 19:00","롯데",2,1,"넥센","","정규시즌","패","승"
"","19:00","한화 4vs5 LG","잠실","-","2016-04-01 19:00","한화",4,5,"LG","","정규시즌","승","패"
"","19:00","kt 8vs4 SK","문학","-","2016-04-01 19:00","kt",8,4,"SK","","정규시즌","패","승"
"","19:00","두산 5vs1 삼성","대구","-","2016-04-01 19:00","두산",5,1,"삼성","","정규시즌","패","승"
"","19:00","KIA 4vs5 NC","마산","-","2016-04-01 19:00","KIA",4,5,"NC","","정규시즌","승","패"
"04.02(토)","14:00","롯데 3vs5 넥센","고척","-","2016-04-02 14:00","롯데",3,5,"넥센","","정규시즌","승","패"
"","17:00","한화 7vs8 LG","잠실","-","2016-04-02 17:00","한화",7,8,"LG","","정규시즌","승","패"
"","17:00","kt 3vs4 SK","문학","-","2016-04-02 17:00","kt",3,4,"SK","","정규시즌","승","패"
"","17:00","두산 6vs10 삼성","대구","-","2016-04-02 17:00","두산",6,10,"삼성","","정규시즌","승","패"
"","17:00","KIA 4vs3 NC","마산","-","2016-04-02 17:00","KIA",4,3,"NC","","정규시즌","패","승"
"04.03(일)","14:00","롯데 5vs6 넥센","고척","-","2016-04-03 14:00","롯데",5,6,"넥센","","정규시즌","승","패"
"","14:00","한화 vs LG","잠실","우천취소","2016-04-03 14:00","한화",NA,NA,"LG","경기 없는 날","정규시즌",NA,NA
"","14:00","kt 5vs4 SK","문학","-","2016-04-03 14:00","kt",5,4,"SK","","정규시즌","패","승"
"","14:00","KIA vs NC","마산","우천취소","2016-04-03 14:00","KIA",NA,NA,"NC","경기 없는 날","정규시즌",NA,NA
"","17:00","두산 vs 삼성","대구","우천취소","2016-04-03 17:00","두산",NA,NA,"삼성","경기 없는 날","정규시즌",NA,NA
"04.05(화)","18:30","NC 2vs6 두산","잠실","-","2016-04-05 18:30","NC",2,6,"두산","","정규시즌","승","패"
"","18:30","넥센 5vs9 한화","대전","-","2016-04-05 18:30","넥센",5,9,"한화","","정규시즌","승","패"
"","18:30","LG 1vs4 KIA","광주","-","2016-04-05 18:30","LG",1,4,"KIA","","정규시즌","승","패"
"","18:30","SK 1vs2 롯데","사직","-","2016-04-05 18:30","SK",1,2,"롯데","","정규시즌","승","패"
"","18:30","삼성 3vs8 kt","수원","-","2016-04-05 18:30","삼성",3,8,"kt","","정규시즌","승","패"
"04.06(수)","18:30","NC 0vs2 두산","잠실","-","2016-04-06 18:30","NC",0,2,"두산","","정규시즌","승","패"
"","18:30","넥센 6vs4 한화","대전","-","2016-04-06 18:30","넥센",6,4,"한화","","정규시즌","패","승"
"","18:30","LG vs KIA","광주","우천취소","2016-04-06 18:30","LG",NA,NA,"KIA","경기 없는 날","정규시즌",NA,NA
"","18:30","SK 1vs11 롯데","사직","-","2016-04-06 18:30","SK",1,11,"롯데","","정규시즌","승","패"
"","18:30","삼성 11vs6 kt","수원","-","2016-04-06 18:30","삼성",11,6,"kt","","정규시즌","패","승"
"04.07(목)","18:30","NC 8vs2 두산","잠실","-","2016-04-07 18:30","NC",8,2,"두산","","정규시즌","패","승"
