"경기날짜및시간","구장","원정팀","원정팀_점수","홈팀_점수","홈팀","비고"
"2018-04-10 18:30","잠실","SK",4,1,"LG","정규시즌"
"2018-04-10 18:30","대전","기아",3,4,"한화","정규시즌"
"2018-04-10 18:30","대구","두산",8,1,"삼성","정규시즌"
"2018-04-10 18:30","마산","KT",5,4,"NC","정규시즌"
"2018-04-10 18:30","울산","넥센",3,4,"롯데","정규시즌"
"2018-04-11 18:30","잠실","SK",0,3,"LG","정규시즌"
"2018-04-11 18:30","대전","기아",4,6,"한화","정규시즌"
"2018-04-11 18:30","대구","두산",7,6,"삼성","정규시즌"
"2018-04-11 18:30","마산","넥센",0,4,"NC","정규시즌"
"2018-04-11 18:30","울산","KT",12,12,"롯데","정규시즌"
"2018-04-12 18:30","잠실","SK",4,5,"LG","정규시즌"
"2018-04-12 18:30","대전","기아",4,3,"삼성","정규시즌"
"2018-04-12 18:30","대구","두산",9,2,"NC","정규시즌"
"2018-04-12 18:30","마산","KT",7,3,"롯데","정규시즌"
"2018-04-12 18:30","울산","넥센",5,15,"한화","정규시즌"
"2018-04-13 18:30","고척","KT",1,0,"넥센","정규시즌"
"2018-04-13 18:30","잠실","NC",2,3,"LG","정규시즌"
"2018-04-13 18:30","문학","삼성",4,4,"SK","정규시즌"
"2018-04-13 18:30","대전","롯데",8,2,"한화","정규시즌"
"2018-04-13 18:30","광주","두산",12,4,"기아","정규시즌"
"2018-04-14 17:00","고척","두산",6,7,"넥센","정규시즌"
"2018-04-14 17:00","잠실","KT",0,8,"LG","정규시즌"
"2018-04-14 17:00","문학","NC",0,7,"SK","정규시즌"
"2018-04-14 17:00","대전","삼성",2,14,"한화","정규시즌"
"2018-04-15 14:00","고척","두산",3,2,"넥센","정규시즌"
"2018-04-15 14:00","잠실","KT",8,3,"SK","정규시즌"
"2018-04-15 14:00","문학","NC",2,7,"한화","정규시즌"
"2018-04-15 14:00","대전","삼성",4,11,"LG","정규시즌"
"2018-04-17 18:30","고척","NC",3,2,"넥센","정규시즌"
"2018-04-17 18:30","잠실","한화",5,2,"두산","정규시즌"
"2018-04-17 18:30","광주","LG",4,5,"기아","정규시즌"
"2018-04-17 18:30","사직","SK",9,6,"롯데","정규시즌"
"2018-04-17 18:30","수원","삼성",11,5,"KT","정규시즌"
"2018-04-18 18:30","고척","NC",1,0,"넥센","정규시즌"
"2018-04-18 18:30","잠실","한화",4,5,"두산","정규시즌"
"2018-04-18 18:30","광주","LG",3,4,"기아","정규시즌"
"2018-04-18 18:30","사직","삼성",7,9,"롯데","정규시즌"
"2018-04-18 18:30","수원","SK",8,3,"KT","정규시즌"
"2018-04-19 18:30","고척","NC",3,6,"넥센","정규시즌"
"2018-04-19 18:30","잠실","한화",2,5,"두산","정규시즌"
"2018-04-19 18:30","광주","LG",4,8,"기아","정규시즌"
"2018-04-19 18:30","사직","삼성",6,0,"롯데","정규시즌"
"2018-04-19 18:30","수원","SK",6,5,"KT","정규시즌"
"2018-04-20 18:30","잠실","기아",4,6,"두산","정규시즌"
"2018-04-20 18:30","대전","넥센",6,1,"한화","정규시즌"
"2018-04-20 18:30","대구","KT",5,4,"삼성","정규시즌"
"2018-04-20 18:30","사직","SK",5,4,"NC","정규시즌"
"2018-04-20 18:30","마산","LG",9,10,"롯데","정규시즌"
"2018-04-21 17:00","잠실","기아",5,3,"한화","정규시즌"
"2018-04-21 17:00","대전","넥센",4,4,"삼성","정규시즌"
"2018-04-21 17:00","대구","KT",1,4,"롯데","정규시즌"
"2018-04-21 17:00","사직","SK",3,3,"NC","정규시즌"
"2018-04-21 17:00","마산","LG",6,10,"두산","정규시즌"
"2018-04-22 14:00","잠실","KT",6,4,"두산","정규시즌"
"2018-04-22 14:00","대전","LG",5,1,"한화","정규시즌"
"2018-04-22 14:00","대구","기아",14,4,"삼성","정규시즌"
"2018-04-22 14:00","사직","넥센",10,4,"롯데","정규시즌"
"2018-04-22 14:00","마산","SK",10,4,"NC","정규시즌"
"2018-04-24 18:30","잠실","넥센",2,8,"LG","정규시즌"
"2018-04-24 18:30","문학","NC",2,9,"SK","정규시즌"
"2018-04-24 18:30","대구","두산",10,7,"삼성","정규시즌"
"2018-04-24 18:30","수원","롯데",14,8,"KT","정규시즌"
"2018-04-25 18:30","잠실","넥센",1,2,"LG","정규시즌"
"2018-04-25 18:30","문학","두산",6,7,"SK","정규시즌"
"2018-04-25 18:30","대구","NC",9,2,"삼성","정규시즌"
"2018-04-25 18:30","광주","한화",3,2,"기아","정규시즌"
"2018-04-25 18:30","수원","롯데",5,4,"KT","정규시즌"
"2018-04-26 18:30","잠실","넥센",1,5,"SK","정규시즌"
"2018-04-26 18:30","문학","두산",4,2,"삼성","정규시즌"
"2018-04-26 18:30","대구","NC",5,1,"기아","정규시즌"
"2018-04-26 18:30","광주","한화",3,5,"KT","정규시즌"
"2018-04-26 18:30","수원","롯데",2,11,"LG","정규시즌"
"2018-04-27 18:30","고척","SK",8,3,"넥센","정규시즌"
"2018-04-27 18:30","잠실","삼성",2,9,"LG","정규시즌"
"2018-04-27 18:30","사직","한화",3,5,"롯데","정규시즌"
"2018-04-27 18:30","마산","두산",6,2,"NC","정규시즌"
"2018-04-27 18:30","수원","기아",8,3,"KT","정규시즌"
"2018-04-28 17:00","고척","SK",6,4,"넥센","정규시즌"
"2018-04-28 17:00","잠실","삼성",4,6,"LG","정규시즌"
"2018-04-28 17:00","사직","한화",4,2,"롯데","정규시즌"
"2018-04-28 17:00","마산","두산",1,5,"NC","정규시즌"
"2018-04-28 17:00","수원","기아",2,9,"KT","정규시즌"
"2018-04-29 14:00","고척","SK",5,8,"넥센","정규시즌"
"2018-04-29 14:00","잠실","삼성",8,7,"LG","정규시즌"
"2018-04-29 14:00","사직","한화",3,4,"롯데","정규시즌"
"2018-04-29 14:00","마산","두산",7,1,"NC","정규시즌"
"2018-04-29 14:00","수원","기아",3,5,"KT","정규시즌"
"2018-05-01 18:30","잠실","KT",2,4,"두산","정규시즌"
"2018-05-01 18:30","대전","LG",5,6,"한화","정규시즌"
"2018-05-01 18:30","대구","기아",0,3,"삼성","정규시즌"
"2018-05-01 18:30","사직","SK",12,4,"롯데","정규시즌"
"2018-05-01 18:30","마산","넥센",13,4,"NC","정규시즌"
"2018-05-02 18:30","대전","LG",3,4,"한화","정규시즌"
"2018-05-02 18:30","대구","SK",7,4,"삼성","정규시즌"
"2018-05-02 18:30","사직","넥센",8,6,"롯데","정규시즌"
"2018-05-02 18:30","마산","기아",12,13,"NC","정규시즌"
"2018-05-03 18:30","잠실","KT",3,2,"두산","정규시즌"
"2018-05-03 18:30","대전","LG",3,7,"한화","정규시즌"
"2018-05-03 18:30","대구","SK",4,8,"삼성","정규시즌"
"2018-05-03 18:30","사직","기아",4,5,"롯데","정규시즌"
"2018-05-03 18:30","마산","넥센",13,9,"NC","정규시즌"
"2018-05-04 18:30","잠실","롯데",4,8,"LG","정규시즌"
"2018-05-04 18:30","문학","한화",9,5,"SK","정규시즌"
"2018-05-04 18:30","대구","NC",6,6,"삼성","정규시즌"
"2018-05-04 18:30","광주","두산",11,5,"기아","정규시즌"
"2018-05-04 18:30","수원","넥센",11,1,"KT","정규시즌"
"2018-05-05 14:00","잠실","두산",3,0,"LG","정규시즌"
"2018-05-05 14:00","문학","롯데",8,1,"SK","정규시즌"
"2018-05-05 14:00","대구","한화",3,8,"삼성","정규시즌"
"2018-05-05 14:00","광주","NC",4,1,"KT","정규시즌"
"2018-05-05 14:00","수원","넥센",10,12,"기아","정규시즌"
"2018-05-06 14:00","잠실","NC",3,5,"LG","정규시즌"
"2018-05-06 14:00","광주","두산",13,11,"기아","정규시즌"
"2018-05-08 18:30","고척","롯데",4,9,"넥센","정규시즌"
"2018-05-08 18:30","잠실","두산",0,2,"LG","정규시즌"
"2018-05-08 18:30","광주","SK",0,9,"NC","정규시즌"
"2018-05-08 18:30","마산","삼성",9,4,"KT","정규시즌"
"2018-05-08 18:30","수원","한화",10,10,"기아","정규시즌"
"2018-05-09 18:30","고척","한화",4,1,"넥센","정규시즌"
"2018-05-09 18:30","잠실","롯데",2,3,"LG","정규시즌"
"2018-05-09 18:30","광주","SK",6,7,"기아","정규시즌"
"2018-05-09 18:30","마산","삼성",5,5,"NC","정규시즌"
"2018-05-09 18:30","수원","두산",13,4,"KT","정규시즌"
"2018-05-10 18:30","고척","한화",3,1,"넥센","정규시즌"
"2018-05-10 18:30","잠실","롯데",7,2,"LG","정규시즌"
"2018-05-10 18:30","광주","두산",5,6,"기아","정규시즌"
"2018-05-10 18:30","마산","SK",6,2,"NC","정규시즌"
"2018-05-10 18:30","수원","삼성",4,5,"KT","정규시즌"
"2018-05-11 18:30","잠실","NC",4,5,"두산","정규시즌"
"2018-05-11 18:30","문학","기아",3,9,"SK","정규시즌"
"2018-05-11 18:30","대전","KT",2,2,"한화","정규시즌"
"2018-05-11 18:30","대구","넥센",10,8,"삼성","정규시즌"
"2018-05-11 18:30","사직","LG",14,6,"롯데","정규시즌"
"2018-05-13 14:00","잠실","넥센",2,1,"두산","정규시즌"
