"경기날짜및시간","구장","원정팀","원정팀_점수","홈팀_점수","홈팀","비고"
"2017-04-09 14:00","광주","LG",1,3,"기아","정규시즌"
"2017-04-09 14:00","사직","삼성",0,7,"롯데","정규시즌"
"2017-04-09 14:00","수원","넥센",13,3,"kt","정규시즌"
"2017-04-11 18:30","고척","kt",2,4,"SK","정규시즌"
"2017-04-11 18:30","잠실","기아",4,8,"삼성","정규시즌"
"2017-04-11 18:30","문학","롯데",6,4,"NC","정규시즌"
"2017-04-11 18:30","대구","LG",3,12,"넥센","정규시즌"
"2017-04-11 18:30","마산","한화",11,16,"두산","정규시즌"
"2017-04-12 18:30","고척","kt",3,5,"넥센","정규시즌"
"2017-04-12 18:30","잠실","기아",8,4,"두산","정규시즌"
"2017-04-12 18:30","문학","롯데",1,2,"SK","정규시즌"
"2017-04-12 18:30","대구","한화",5,3,"삼성","정규시즌"
"2017-04-12 18:30","마산","LG",0,5,"NC","정규시즌"
"2017-04-13 18:30","고척","kt",7,6,"넥센","정규시즌"
"2017-04-13 18:30","잠실","기아",4,3,"두산","정규시즌"
"2017-04-13 18:30","문학","한화",1,5,"삼성","정규시즌"
"2017-04-13 18:30","대구","LG",1,3,"NC","정규시즌"
"2017-04-13 18:30","마산","롯데",10,11,"SK","정규시즌"
"2017-04-14 18:30","잠실","kt",2,5,"LG","정규시즌"
"2017-04-14 18:30","대전","SK",6,2,"한화","정규시즌"
"2017-04-14 18:30","광주","넥센",2,3,"기아","정규시즌"
"2017-04-14 18:30","사직","삼성",6,9,"롯데","정규시즌"
"2017-04-14 18:30","마산","두산",10,6,"NC","정규시즌"
"2017-04-15 17:00","잠실","kt",1,0,"LG","정규시즌"
"2017-04-15 17:00","대전","넥센",2,4,"한화","정규시즌"
"2017-04-15 17:00","광주","삼성",4,5,"기아","정규시즌"
"2017-04-15 17:00","사직","SK",12,6,"롯데","정규시즌"
"2017-04-15 17:00","마산","두산",11,2,"NC","정규시즌"
"2017-04-16 14:00","잠실","kt",5,1,"한화","정규시즌"
"2017-04-16 14:00","대전","넥센",6,7,"기아","정규시즌"
"2017-04-16 14:00","광주","삼성",3,0,"롯데","정규시즌"
"2017-04-16 14:00","사직","두산",0,4,"NC","정규시즌"
"2017-04-16 14:00","마산","SK",10,12,"LG","정규시즌"
"2017-04-18 18:30","잠실","삼성",3,3,"두산","정규시즌"
"2017-04-18 18:30","문학","넥센",4,7,"SK","정규시즌"
"2017-04-18 18:30","대전","LG",2,3,"한화","정규시즌"
"2017-04-18 18:30","사직","NC",8,3,"롯데","정규시즌"
"2017-04-18 18:30","수원","기아",5,0,"kt","정규시즌"
"2017-04-19 18:30","잠실","삼성",1,2,"두산","정규시즌"
"2017-04-19 18:30","문학","넥센",3,5,"SK","정규시즌"
"2017-04-19 18:30","대전","LG",0,3,"한화","정규시즌"
"2017-04-19 18:30","사직","NC",8,2,"롯데","정규시즌"
"2017-04-19 18:30","수원","기아",1,3,"kt","정규시즌"
"2017-04-20 18:30","잠실","삼성",2,4,"두산","정규시즌"
"2017-04-20 18:30","문학","넥센",5,3,"SK","정규시즌"
"2017-04-20 18:30","대전","LG",4,3,"한화","정규시즌"
"2017-04-20 18:30","사직","NC",5,4,"롯데","정규시즌"
"2017-04-20 18:30","수원","기아",9,2,"kt","정규시즌"
"2017-04-21 18:30","고척","롯데",1,4,"넥센","정규시즌"
"2017-04-21 18:30","잠실","기아",2,6,"LG","정규시즌"
"2017-04-21 18:30","문학","두산",4,9,"SK","정규시즌"
"2017-04-21 18:30","대구","NC",4,4,"삼성","정규시즌"
"2017-04-21 18:30","수원","한화",7,2,"kt","정규시즌"
"2017-04-22 17:00","고척","롯데",3,2,"넥센","정규시즌"
"2017-04-22 17:00","잠실","기아",5,4,"LG","정규시즌"
"2017-04-22 17:00","문학","두산",4,8,"SK","정규시즌"
"2017-04-22 17:00","대구","한화",9,6,"삼성","정규시즌"
"2017-04-22 17:00","수원","NC",14,11,"kt","정규시즌"
"2017-04-23 14:00","고척","롯데",5,6,"넥센","정규시즌"
"2017-04-23 14:00","잠실","기아",1,7,"LG","정규시즌"
"2017-04-23 14:00","문학","두산",8,4,"SK","정규시즌"
"2017-04-23 14:00","대구","NC",6,3,"삼성","정규시즌"
"2017-04-23 14:00","수원","한화",14,1,"kt","정규시즌"
"2017-04-25 18:30","고척","두산",9,3,"LG","정규시즌"
"2017-04-25 18:30","잠실","SK",8,4,"롯데","정규시즌"
"2017-04-25 18:30","광주","삼성",3,2,"NC","정규시즌"
"2017-04-25 18:30","사직","한화",2,13,"넥센","정규시즌"
"2017-04-25 18:30","마산","kt",1,11,"기아","정규시즌"
"2017-04-26 18:30","고척","두산",4,3,"넥센","정규시즌"
"2017-04-26 18:30","잠실","SK",0,9,"LG","정규시즌"
"2017-04-26 18:30","광주","삼성",0,7,"기아","정규시즌"
"2017-04-26 18:30","사직","한화",2,8,"롯데","정규시즌"
"2017-04-26 18:30","마산","kt",4,11,"NC","정규시즌"
"2017-04-27 18:30","고척","두산",3,7,"넥센","정규시즌"
"2017-04-27 18:30","잠실","SK",2,4,"LG","정규시즌"
"2017-04-27 18:30","광주","삼성",9,1,"롯데","정규시즌"
"2017-04-27 18:30","사직","한화",6,3,"NC","정규시즌"
"2017-04-27 18:30","마산","kt",0,16,"기아","정규시즌"
"2017-04-28 18:30","잠실","롯데",0,2,"두산","정규시즌"
"2017-04-28 18:30","대전","SK",7,2,"한화","정규시즌"
"2017-04-28 18:30","대구","NC",3,5,"삼성","정규시즌"
"2017-04-28 18:30","광주","LG",2,9,"기아","정규시즌"
"2017-04-28 18:30","수원","넥센",13,1,"kt","정규시즌"
"2017-04-29 17:00","잠실","롯데",3,5,"두산","정규시즌"
"2017-04-29 17:00","대전","넥센",7,3,"한화","정규시즌"
"2017-04-29 17:00","대구","SK",5,6,"기아","정규시즌"
"2017-04-29 17:00","광주","NC",8,6,"kt","정규시즌"
"2017-04-29 17:00","수원","LG",0,12,"삼성","정규시즌"
"2017-04-30 14:00","잠실","롯데",6,0,"두산","정규시즌"
"2017-04-30 14:00","대전","넥센",5,4,"한화","정규시즌"
"2017-04-30 14:00","대구","LG",7,2,"삼성","정규시즌"
"2017-04-30 14:00","광주","SK",13,1,"기아","정규시즌"
"2017-04-30 14:00","수원","NC",12,5,"kt","정규시즌"
"2017-05-02 18:30","고척","기아",9,3,"넥센","정규시즌"
"2017-05-02 18:30","잠실","NC",2,1,"LG","정규시즌"
"2017-05-02 18:30","문학","한화",6,5,"SK","정규시즌"
"2017-05-02 18:30","대구","두산",5,6,"삼성","정규시즌"
"2017-05-02 18:30","수원","롯데",9,0,"kt","정규시즌"
"2017-05-03 14:00","고척","기아",2,1,"넥센","정규시즌"
"2017-05-03 14:00","잠실","NC",0,8,"SK","정규시즌"
"2017-05-03 14:00","문학","한화",9,4,"삼성","정규시즌"
"2017-05-03 14:00","대구","롯데",2,8,"kt","정규시즌"
"2017-05-03 14:00","수원","두산",10,13,"LG","정규시즌"
"2017-05-04 18:30","고척","기아",1,9,"넥센","정규시즌"
"2017-05-04 18:30","잠실","NC",3,4,"LG","정규시즌"
"2017-05-04 18:30","문학","한화",2,6,"SK","정규시즌"
"2017-05-04 18:30","대구","롯데",3,2,"삼성","정규시즌"
"2017-05-04 18:30","수원","두산",17,2,"kt","정규시즌"
"2017-05-05 14:00","고척","SK",3,5,"넥센","정규시즌"
"2017-05-05 14:00","잠실","LG",3,1,"두산","정규시즌"
"2017-05-05 14:00","대전","kt",1,3,"롯데","정규시즌"
"2017-05-05 14:00","사직","기아",5,7,"NC","정규시즌"
"2017-05-05 14:00","마산","삼성",2,13,"한화","정규시즌"
"2017-05-06 17:00","고척","LG",7,5,"넥센","정규시즌"
"2017-05-06 17:00","잠실","kt",3,5,"두산","정규시즌"
"2017-05-06 17:00","대전","기아",3,5,"한화","정규시즌"
"2017-05-06 17:00","사직","SK",13,0,"롯데","정규시즌"
"2017-05-06 17:00","마산","삼성",12,1,"NC","정규시즌"
"2017-05-07 14:00","고척","SK",6,6,"넥센","정규시즌"
"2017-05-07 14:00","잠실","기아",5,4,"두산","정규시즌"
"2017-05-07 14:00","대전","삼성",3,0,"한화","정규시즌"
"2017-05-07 14:00","사직","LG",10,3,"롯데","정규시즌"
"2017-05-07 14:00","마산","kt",10,13,"NC","정규시즌"
"2017-05-09 18:30","광주","kt",4,9,"기아","정규시즌"
"2017-05-10 18:30","잠실","SK",0,6,"두산","정규시즌"
"2017-05-10 18:30","대전","롯데",8,1,"한화","정규시즌"
"2017-05-10 18:30","대구","LG",6,1,"삼성","정규시즌"
"2017-05-10 18:30","광주","kt",3,0,"기아","정규시즌"
"2017-05-10 18:30","마산","넥센",0,3,"NC","정규시즌"
"2017-05-11 18:30","잠실","SK",0,7,"두산","정규시즌"
"2017-05-11 18:30","대전","롯데",1,2,"한화","정규시즌"
"2017-05-11 18:30","대구","LG",8,5,"삼성","정규시즌"
"2017-05-11 18:30","광주","kt",4,2,"기아","정규시즌"
"2017-05-11 18:30","마산","넥센",2,1,"NC","정규시즌"
"2017-05-12 18:30","잠실","한화",5,3,"LG","정규시즌"
"2017-05-12 18:30","문학","기아",2,8,"SK","정규시즌"
"2017-05-12 18:30","대구","넥센",1,4,"삼성","정규시즌"
"2017-05-12 18:30","수원","NC",8,5,"kt","정규시즌"
"2017-05-13 17:00","잠실","기아",5,0,"LG","정규시즌"
"2017-05-13 17:00","문학","넥센",5,3,"SK","정규시즌"
"2017-05-13 17:00","대구","두산",9,4,"삼성","정규시즌"
"2017-05-13 17:00","사직","NC",2,4,"롯데","정규시즌"
"2017-05-13 17:00","수원","한화",10,5,"kt","정규시즌"
"2017-05-14 14:00","잠실","한화",1,4,"LG","정규시즌"
"2017-05-14 14:00","문학","기아",3,4,"SK","정규시즌"
"2017-05-14 14:00","대구","넥센",5,4,"삼성","정규시즌"
"2017-05-14 14:00","사직","NC",5,1,"롯데","정규시즌"
"2017-05-14 14:00","수원","두산",15,10,"kt","정규시즌"
"2017-05-16 18:30","고척","한화",1,2,"넥센","정규시즌"
"2017-05-16 18:30","잠실","NC",2,1,"두산","정규시즌"
"2017-05-16 18:30","문학","삼성",8,2,"SK","정규시즌"
"2017-05-16 18:30","광주","LG",2,3,"기아","정규시즌"
"2017-05-16 18:30","사직","kt",0,6,"롯데","정규시즌"
"2017-05-17 18:30","고척","한화",8,4,"넥센","정규시즌"
"2017-05-17 18:30","잠실","NC",2,1,"두산","정규시즌"
"2017-05-17 18:30","문학","삼성",5,2,"SK","정규시즌"
"2017-05-17 18:30","광주","LG",3,8,"기아","정규시즌"
"2017-05-17 18:30","사직","kt",4,9,"롯데","정규시즌"
"2017-05-18 18:30","고척","한화",6,8,"넥센","정규시즌"
"2017-05-18 18:30","잠실","NC",4,7,"두산","정규시즌"
"2017-05-18 18:30","문학","삼성",1,4,"SK","정규시즌"
"2017-05-18 18:30","광주","LG",4,9,"기아","정규시즌"
"2017-05-18 18:30","사직","kt",4,11,"롯데","정규시즌"
"2017-05-19 18:30","잠실","롯데",9,4,"LG","정규시즌"
"2017-05-19 18:30","대전","삼성",6,2,"한화","정규시즌"
"2017-05-19 18:30","광주","두산",7,6,"기아","정규시즌"
"2017-05-19 18:30","마산","넥센",4,1,"NC","정규시즌"
"2017-05-19 18:30","수원","SK",11,3,"kt","정규시즌"
"2017-05-20 17:00","잠실","롯데",2,3,"LG","정규시즌"
"2017-05-20 17:00","대전","삼성",9,8,"한화","정규시즌"
"2017-05-20 17:00","광주","두산",6,0,"기아","정규시즌"
"2017-05-20 17:00","마산","SK",0,1,"NC","정규시즌"
"2017-05-20 17:00","수원","넥센",11,3,"kt","정규시즌"
"2017-05-21 14:00","잠실","롯데",3,4,"LG","정규시즌"
"2017-05-21 14:00","대전","삼성",8,7,"한화","정규시즌"
"2017-05-21 14:00","광주","두산",7,3,"기아","정규시즌"
"2017-05-21 14:00","마산","SK",9,4,"NC","정규시즌"
"2017-05-21 14:00","수원","넥센",4,13,"kt","정규시즌"
"2017-05-23 18:30","고척","SK",6,4,"넥센","정규시즌"
"2017-05-23 18:30","대전","NC",15,8,"한화","정규시즌"
"2017-05-23 18:30","대구","기아",13,3,"삼성","정규시즌"
"2017-05-23 18:30","사직","kt",12,7,"롯데","정규시즌"
"2017-05-24 18:30","고척","NC",5,4,"넥센","정규시즌"
"2017-05-24 18:30","잠실","두산",2,1,"LG","정규시즌"
"2017-05-24 18:30","대전","기아",9,3,"한화","정규시즌"
"2017-05-24 18:30","대구","kt",9,8,"삼성","정규시즌"
"2017-05-24 18:30","사직","SK",5,7,"롯데","정규시즌"
"2017-05-25 18:30","고척","두산",9,3,"넥센","정규시즌"
"2017-05-25 18:30","잠실","기아",6,7,"LG","정규시즌"
"2017-05-25 18:30","대전","kt",4,4,"한화","정규시즌"
"2017-05-25 18:30","대구","SK",6,6,"삼성","정규시즌"
"2017-05-25 18:30","사직","NC",13,17,"롯데","정규시즌"
"2017-05-26 18:30","고척","삼성",3,3,"두산","정규시즌"
"2017-05-26 18:30","잠실","kt",5,6,"SK","정규시즌"
"2017-05-26 18:30","문학","LG",1,2,"기아","정규시즌"
"2017-05-26 18:30","광주","롯데",8,5,"NC","정규시즌"
"2017-05-26 18:30","마산","한화",3,18,"넥센","정규시즌"
"2017-05-27 17:00","고척","삼성",4,7,"넥센","정규시즌"
"2017-05-27 17:00","잠실","kt",4,4,"SK","정규시즌"
"2017-05-27 17:00","문학","LG",3,1,"NC","정규시즌"
"2017-05-27 17:00","광주","롯데",7,10,"두산","정규시즌"
"2017-05-27 17:00","마산","한화",6,15,"기아","정규시즌"
"2017-05-28 14:00","고척","삼성",3,2,"넥센","정규시즌"
"2017-05-28 14:00","잠실","kt",5,9,"두산","정규시즌"
"2017-05-28 14:00","문학","LG",2,5,"SK","정규시즌"
"2017-05-28 14:00","광주","롯데",4,8,"기아","정규시즌"
"2017-05-28 14:00","마산","한화",8,1,"NC","정규시즌"
"2017-05-30 18:30","잠실","넥센",3,1,"LG","정규시즌"
"2017-05-30 18:30","대전","두산",2,5,"한화","정규시즌"
"2017-05-30 18:30","대구","롯데",1,0,"삼성","정규시즌"
"2017-05-30 18:30","마산","기아",9,7,"NC","정규시즌"
"2017-05-30 18:30","수원","SK",8,3,"kt","정규시즌"
"2017-05-31 18:30","잠실","넥센",2,5,"LG","정규시즌"
"2017-05-31 18:30","대전","두산",1,3,"한화","정규시즌"
"2017-05-31 18:30","대구","롯데",4,2,"NC","정규시즌"
"2017-05-31 18:30","마산","SK",8,2,"kt","정규시즌"
"2017-05-31 18:30","수원","기아",10,11,"삼성","정규시즌"
"2017-06-01 18:30","잠실","넥센",1,6,"LG","정규시즌"
"2017-06-01 18:30","대전","두산",8,6,"한화","정규시즌"
"2017-06-01 18:30","대구","롯데",2,8,"NC","정규시즌"
"2017-06-01 18:30","마산","기아",7,4,"kt","정규시즌"
"2017-06-01 18:30","수원","SK",10,13,"삼성","정규시즌"
"2017-06-02 18:30","고척","NC",4,4,"넥센","정규시즌"
"2017-06-02 18:30","잠실","SK",4,1,"LG","정규시즌"
"2017-06-02 18:30","대전","기아",1,5,"한화","정규시즌"
"2017-06-02 18:30","대구","두산",15,5,"삼성","정규시즌"
"2017-06-02 18:30","사직","kt",11,8,"롯데","정규시즌"
"2017-06-03 17:00","고척","두산",5,8,"넥센","정규시즌"
"2017-06-03 17:00","잠실","NC",4,3,"LG","정규시즌"
"2017-06-03 17:00","대전","SK",5,2,"한화","정규시즌"
"2017-06-03 17:00","대구","기아",5,6,"삼성","정규시즌"
"2017-06-03 17:00","사직","kt",10,1,"롯데","정규시즌"
"2017-06-04 17:00","고척","두산",6,1,"넥센","정규시즌"
"2017-06-04 17:00","잠실","NC",6,5,"LG","정규시즌"
"2017-06-04 17:00","대전","SK",7,4,"한화","정규시즌"
"2017-06-04 17:00","대구","kt",8,3,"삼성","정규시즌"
"2017-06-04 17:00","사직","기아",13,14,"롯데","정규시즌"
"2017-06-06 14:00","잠실","넥센",5,6,"SK","정규시즌"
"2017-06-06 14:00","문학","삼성",12,10,"두산","정규시즌"
"2017-06-06 17:00","마산","롯데",5,4,"NC","정규시즌"
"2017-06-07 18:30","잠실","삼성",7,9,"두산","정규시즌"
"2017-06-07 18:30","문학","넥센",6,2,"SK","정규시즌"
"2017-06-07 18:30","광주","한화",0,7,"기아","정규시즌"
"2017-06-07 18:30","마산","롯데",4,7,"kt","정규시즌"
"2017-06-07 18:30","수원","LG",11,12,"NC","정규시즌"
"2017-06-08 18:30","잠실","삼성",3,4,"두산","정규시즌"
"2017-06-08 18:30","문학","넥센",6,2,"SK","정규시즌"
"2017-06-08 18:30","광주","한화",4,8,"기아","정규시즌"
"2017-06-08 18:30","마산","롯데",0,4,"kt","정규시즌"
"2017-06-08 18:30","수원","LG",5,16,"NC","정규시즌"
"2017-06-09 18:30","잠실","SK",1,3,"LG","정규시즌"
"2017-06-09 18:30","대전","삼성",8,5,"한화","정규시즌"
"2017-06-09 18:30","광주","넥센",7,5,"기아","정규시즌"
"2017-06-09 18:30","마산","kt",5,6,"NC","정규시즌"
"2017-06-09 18:30","울산","두산",4,0,"롯데","정규시즌"
"2017-06-10 17:00","잠실","SK",4,3,"LG","정규시즌"
"2017-06-10 17:00","대전","삼성",2,4,"기아","정규시즌"
"2017-06-10 17:00","광주","넥센",8,4,"NC","정규시즌"
"2017-06-10 17:00","마산","kt",1,7,"롯데","정규시즌"
"2017-06-10 17:00","울산","두산",6,10,"한화","정규시즌"
"2017-06-11 17:00","잠실","SK",1,4,"한화","정규시즌"
"2017-06-11 17:00","대전","삼성",7,6,"기아","정규시즌"
"2017-06-11 17:00","광주","넥센",2,5,"NC","정규시즌"
"2017-06-11 17:00","마산","kt",0,7,"롯데","정규시즌"
"2017-06-11 17:00","울산","두산",4,19,"LG","정규시즌"
"2017-06-13 18:30","고척","LG",4,5,"넥센","정규시즌"
"2017-06-13 18:30","잠실","kt",0,7,"두산","정규시즌"
"2017-06-13 18:30","문학","NC",14,8,"SK","정규시즌"
"2017-06-13 18:30","사직","한화",11,7,"롯데","정규시즌"
"2017-06-13 18:30","포항","기아",10,4,"삼성","정규시즌"
"2017-06-14 18:30","고척","NC",4,8,"넥센","정규시즌"
"2017-06-14 18:30","잠실","LG",5,1,"두산","정규시즌"
"2017-06-14 18:30","문학","한화",3,6,"SK","정규시즌"
"2017-06-14 18:30","사직","기아",6,3,"롯데","정규시즌"
"2017-06-14 18:30","포항","kt",7,5,"삼성","정규시즌"
"2017-06-15 18:30","고척","NC",9,8,"넥센","정규시즌"
"2017-06-15 18:30","잠실","한화",3,6,"두산","정규시즌"
"2017-06-15 18:30","문학","기아",7,4,"SK","정규시즌"
