"경기날짜및시간","구장","원정팀","원정팀점수","홈팀점수","홈팀","비고"
"2013-03-09 13:00","대구","LG",4,4,"삼성","시범경기"
"2013-03-09 13:00","사직","SK",1,2,"롯데","시범경기"
"2013-03-09 13:00","무등","한화",3,13,"KIA","시범경기"
"2013-03-09 13:00","마산","넥센",6,1,"NC","시범경기"
"2013-03-10 13:00","대구","LG",9,6,"삼성","시범경기"
"2013-03-10 13:00","사직","SK",6,3,"롯데","시범경기"
"2013-03-10 13:00","무등","한화",1,4,"KIA","시범경기"
"2013-03-10 13:00","마산","넥센",4,7,"NC","시범경기"
"2013-03-12 13:00","대구","두산",3,1,"삼성","시범경기"
"2013-03-12 13:00","사직","넥센",4,2,"롯데","시범경기"
"2013-03-12 13:00","무등","SK",1,6,"KIA","시범경기"
"2013-03-12 13:00","마산","LG",2,4,"NC","시범경기"
"2013-03-13 13:00","마산","LG",4,0,"NC","시범경기"
"2013-03-14 13:00","목동","한화",3,2,"넥센","시범경기"
"2013-03-14 13:00","문학","LG",3,4,"SK","시범경기"
"2013-03-14 13:00","사직","삼성",5,3,"롯데","시범경기"
"2013-03-14 13:00","포항","NC",0,1,"두산","시범경기"
"2013-03-15 13:00","목동","한화",4,6,"넥센","시범경기"
"2013-03-15 13:00","문학","LG",3,2,"SK","시범경기"
"2013-03-15 13:00","사직","삼성",0,0,"롯데","시범경기"
"2013-03-15 13:00","포항","NC",5,8,"두산","시범경기"
"2013-03-16 13:00","문학","한화",1,8,"SK","시범경기"
"2013-03-16 13:00","대구","넥센",2,7,"삼성","시범경기"
"2013-03-16 13:00","무등","두산",2,3,"KIA","시범경기"
"2013-03-17 13:00","문학","한화",0,2,"SK","시범경기"
"2013-03-17 13:00","대구","넥센",2,2,"삼성","시범경기"
"2013-03-17 13:00","무등","두산",7,2,"KIA","시범경기"
"2013-03-19 13:00","목동","SK",8,9,"넥센","시범경기"
"2013-03-19 13:00","대전","두산",2,2,"한화","시범경기"
"2013-03-19 13:00","사직","LG",2,0,"롯데","시범경기"
"2013-03-19 13:00","마산","KIA",7,5,"NC","시범경기"
"2013-03-20 13:00","목동","SK",7,1,"넥센","시범경기"
"2013-03-20 13:00","대전","두산",10,4,"한화","시범경기"
"2013-03-20 13:00","사직","LG",2,9,"롯데","시범경기"
"2013-03-20 13:00","마산","KIA",2,4,"NC","시범경기"
"2013-03-21 13:00","목동","두산",1,7,"넥센","시범경기"
"2013-03-21 13:00","대전","삼성",3,6,"한화","시범경기"
