날짜,시간,경기,구장,비고,경기날짜및시간,원정팀,원정팀_점수,홈팀_점수,홈팀,비고.1,비고.2,홈팀_결과,원정팀_결과
,14:00,한화 5vs6 롯데,사직,-,2013-03-30 14:00,한화,5,6,롯데,,정규시즌,승,패
,14:00,넥센 9vs10 KIA,무등,-,2013-03-30 14:00,넥센,9,10,KIA,,정규시즌,승,패
03.31(일),14:00,LG 4vs1 SK,문학,-,2013-03-31 14:00,LG,4,1,SK,,정규시즌,패,승
,14:00,두산 7vs3 삼성,대구,-,2013-03-31 14:00,두산,7,3,삼성,,정규시즌,패,승
,14:00,한화 5vs6 롯데,사직,-,2013-03-31 14:00,한화,5,6,롯데,,정규시즌,승,패
,14:00,넥센 6vs4 KIA,무등,-,2013-03-31 14:00,넥센,6,4,KIA,,정규시즌,패,승
04.02(화),18:30,SK 3vs7 두산,잠실,-,2013-04-02 18:30,SK,3,7,두산,,정규시즌,승,패
,18:30,LG 1vs3 넥센,목동,-,2013-04-02 18:30,LG,1,3,넥센,,정규시즌,승,패
,18:30,KIA 9vs5 한화,대전,-,2013-04-02 18:30,KIA,9,5,한화,,정규시즌,패,승
,18:30,롯데 4vs0 NC,마산,-,2013-04-02 18:30,롯데,4,0,NC,,정규시즌,패,승
04.03(수),18:30,SK 4vs1 두산,잠실,-,2013-04-03 18:30,SK,4,1,두산,,정규시즌,패,승
,18:30,LG 14vs8 넥센,목동,-,2013-04-03 18:30,LG,14,8,넥센,,정규시즌,패,승
,18:30,KIA 12vs1 한화,대전,-,2013-04-03 18:30,KIA,12,1,한화,,정규시즌,패,승
,18:30,롯데 3vs2 NC,마산,-,2013-04-03 18:30,롯데,3,2,NC,,정규시즌,패,승
04.04(목),18:30,SK 7vs5 두산,잠실,-,2013-04-04 18:30,SK,7,5,두산,,정규시즌,패,승
,18:30,LG 3vs4 넥센,목동,-,2013-04-04 18:30,LG,3,4,넥센,,정규시즌,승,패
,18:30,KIA 12vs4 한화,대전,-,2013-04-04 18:30,KIA,12,4,한화,,정규시즌,패,승
,18:30,롯데 5vs1 NC,마산,-,2013-04-04 18:30,롯데,5,1,NC,,정규시즌,패,승
04.05(금),18:30,두산 4vs6 LG,잠실,-,2013-04-05 18:30,두산,4,6,LG,,정규시즌,승,패
,18:30,넥센 3vs2 한화,대전,-,2013-04-05 18:30,넥센,3,2,한화,,정규시즌,패,승
,18:30,NC 4vs10 삼성,대구,-,2013-04-05 18:30,NC,4,10,삼성,,정규시즌,승,패
,18:30,KIA 9vs3 롯데,사직,-,2013-04-05 18:30,KIA,9,3,롯데,,정규시즌,패,승
04.06(토),17:00,두산 vs LG,잠실,우천취소,2013-04-06 17:00,두산,NA,NA,LG,경기 없는 날,정규시즌,NA,NA
